Jam Tidur Semalam,Seberapa Sibuk Anda Hari Ini (1-5),Seberapa Banyak Tugas/Pekerjaan (1-5),Suasana Hati Anda (1-5),Ceritakan Hari Anda Hari Ini
5,1,2,4,finally kelar juga projek yang udah molor berminggu-minggu
6,4,4,3,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
8,2,3,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
5,3,2,3,"hari ini seger banget, semua tugas kelar on time"
8,1,1,3,cuaca cerah bikin hati ikutan happy ga keruan
4,2,1,3,"ketemu temen lama, ngobrol sampe lupa waktu deh"
9,1,1,5,belajar hal baru hari ini dan rasanya nagih banget
6,1,1,5,"reconnect sama passion lama hari ini, bikin semangat lagi"
7,5,5,1,"capek banget, tugas numpuk kayak ga ada habisnya"
6,1,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku
8,3,3,3,"gak ada komplain sih sebenernya, tapi gak excited juga"
8,1,1,5,"happy banget hari ini, banyak hal baik terjadi"
11,2,3,5,semangat banget ngerjain tugas karena topiknya menarik bgt
5,3,2,3,"cape hati, bukan cape badan — itu yang paling melelahkan"
7,3,2,4,"happy banget hari ini, banyak hal baik terjadi"
2,4,5,1,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
5,4,4,4,"fine-fine aja sih, cuma capek biasa yang wajar"
9,5,5,1,"semua hal kerasa berat dan susah hari ini, capek"
5,5,5,1,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
4,3,4,1,"stress parah, deadline mepet semua barengan nyerang"
5,4,3,5,"happy banget hari ini, banyak hal baik terjadi"
6,1,2,5,"happy banget hari ini, banyak hal baik terjadi"
2,3,4,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
7,5,4,1,"exhausted total, jalan aja udah kayak zombie"
5,2,3,2,"ngejalanin rutinitas seperti biasa, gak naik gak turun"
5,5,5,1,"pikiran gelap dateng lagi, susah diusir pergi"
7,3,2,3,"lelah fisik sama mental, dua-duanya udah di titik mentok"
7,2,1,3,"badan oke pikiran oke, tapi gak ada spark gitu"
6,2,2,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
5,2,3,4,finally kelar juga projek yang udah molor berminggu-minggu
9,5,5,3,"anxious dari pagi, banyak hal yang bikin khawatir"
4,3,3,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
10,4,4,4,"mood normal, tidak galau tidak juga bahagia berlebihan"
6,4,5,2,"ya gini-gini aja, standar banget hari ini mah"
8,3,3,3,"semua hal kerasa berat dan susah hari ini, capek"
4,4,3,2,"ngikutin jadwal aja, autopilot mode sepanjang hari"
9,4,5,2,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
3,1,2,3,"ya gini-gini aja, standar banget hari ini mah"
7,5,5,2,"tugas segunung, waktu secuil, otak udah mati duluan"
6,5,4,3,"stress parah, deadline mepet semua barengan nyerang"
8,3,2,4,ngerasa punya achievement kecil tapi berarti banget buat aku
9,3,3,4,"produktif parah hari ini, kayak mesin yang ga berhenti"
5,2,1,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
9,4,3,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
10,1,2,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
5,4,4,2,"exhausted total, jalan aja udah kayak zombie"
7,5,5,2,"rasanya pengen pause semuanya, istirahat total dari dunia"
3,1,1,5,"reconnect sama passion lama hari ini, bikin semangat lagi"
7,4,3,1,"hari ini berat banget, ngerasa down dari pagi"
9,2,3,5,"kerjaan beres semua, sisa waktu buat rebahan tenang"
5,2,2,2,"ngerjain kewajiban, setelah itu ya sudah lah"
7,4,4,2,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
6,5,5,1,"semua hal kerasa berat dan susah hari ini, capek"
10,2,2,3,"happy banget hari ini, banyak hal baik terjadi"
8,5,5,1,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
9,2,3,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
5,1,1,4,"hari ini chill tapi tetep produktif, perfect combo"
2,4,5,1,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
11,3,4,3,"half-half hari ini, sebagian menyenangkan sebagian meh"
11,4,3,2,"pikiran gelap dateng lagi, susah diusir pergi"
10,4,3,3,"capek banget, tugas numpuk kayak ga ada habisnya"
8,5,4,3,"ngikutin jadwal aja, autopilot mode sepanjang hari"
5,5,4,1,"anxious dari pagi, banyak hal yang bikin khawatir"
6,4,4,3,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
4,4,4,1,pengen kabur dari semua tanggung jawab ini sesaat aja
8,1,1,4,"hari ini seger banget, semua tugas kelar on time"
7,3,2,3,"hari ini biasa aja sih, gak ada yang spesial"
9,5,5,1,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
6,2,3,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
7,4,3,1,"pikiran gelap dateng lagi, susah diusir pergi"
8,5,5,1,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
11,5,5,1,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
5,4,3,1,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
8,5,4,1,"badan oke tapi hati hancur, ga tau kenapa juga"
8,5,5,2,"badan oke tapi hati hancur, ga tau kenapa juga"
5,4,4,2,"stress parah, deadline mepet semua barengan nyerang"
7,4,4,2,"lelah fisik sama mental, dua-duanya udah di titik mentok"
11,3,4,3,"badan oke tapi hati hancur, ga tau kenapa juga"
3,3,3,4,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
8,5,4,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
11,2,3,3,"ya jalani aja, toh besok juga bakal ada hari baru"
2,4,3,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
6,2,2,5,"happy banget hari ini, banyak hal baik terjadi"
8,4,5,2,pengen balik ke kasur dan ga keluar selamanya rasanya
10,4,5,2,nangis di kamar mandi karena udah gak tahan stressnya
9,3,4,5,pagi tadi olahraga dulu jadinya badan enak banget
8,2,1,3,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
7,2,3,5,semangat banget ngerjain tugas karena topiknya menarik bgt
9,3,2,4,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
7,1,1,4,pagi tadi olahraga dulu jadinya badan enak banget
9,1,1,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
3,5,4,3,"capek banget, tugas numpuk kayak ga ada habisnya"
11,2,2,3,"badan oke pikiran oke, tapi gak ada spark gitu"
7,2,1,3,dapet feedback positif yang bikin makin yakin sama diri sendiri
3,2,3,2,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
4,1,1,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
6,2,1,3,"hari ini seger banget, semua tugas kelar on time"
9,1,1,3,seneng bgt dapet nilai bagus pas ujian tadi
6,5,5,1,lelah ngejar semuanya tapi kayak ga pernah sampe
8,5,5,2,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
5,3,4,1,"exhausted total, jalan aja udah kayak zombie"
9,2,1,4,"reconnect sama passion lama hari ini, bikin semangat lagi"
9,3,2,4,dapet feedback positif yang bikin makin yakin sama diri sendiri
6,3,3,2,"gak tau mau bilang apa, rasanya ya begitulah"
5,2,3,3,"standar banget, kayak hari-hari sebelumnya yang mirip"
6,3,2,3,"standar banget, kayak hari-hari sebelumnya yang mirip"
9,5,5,1,"exhausted total, jalan aja udah kayak zombie"
6,4,3,1,"susah fokus banget, pikiran lari kemana-mana terus"
7,2,3,5,"hari ini chill tapi tetep produktif, perfect combo"
8,4,4,2,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
3,1,1,4,"mood on fire dari pagi, semua kerasa ringan"
5,1,1,4,"kerjaan beres semua, sisa waktu buat rebahan tenang"
5,5,4,1,"rasanya pengen pause semuanya, istirahat total dari dunia"
7,4,5,3,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
2,4,4,2,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
4,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi
4,3,4,1,"biasa aja, nothing special, just another day"
8,1,1,4,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
6,3,2,2,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
8,3,3,3,"cukup lah hari ini, tidak lebih tidak kurang"
6,1,1,3,"hari ini seger banget, semua tugas kelar on time"
6,4,4,1,nangis di kamar mandi karena udah gak tahan stressnya
9,4,4,1,"semua hal kerasa berat dan susah hari ini, capek"
5,4,5,3,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
9,1,1,4,"happy banget hari ini, banyak hal baik terjadi"
3,1,1,3,"reconnect sama passion lama hari ini, bikin semangat lagi"
7,4,5,3,"ya gini-gini aja, standar banget hari ini mah"
10,1,1,5,"hari ini chill tapi tetep produktif, perfect combo"
3,1,1,5,"kerjaan beres semua, sisa waktu buat rebahan tenang"
7,2,2,5,"reconnect sama passion lama hari ini, bikin semangat lagi"
7,1,1,5,"pikiran jernih banget hari ini, bisa fokus full"
8,1,1,5,semangat banget ngerjain tugas karena topiknya menarik bgt
7,5,5,1,"tugas segunung, waktu secuil, otak udah mati duluan"
8,3,3,3,"ya jalani aja, toh besok juga bakal ada hari baru"
7,4,3,3,"hari ini berat banget, ngerasa down dari pagi"
10,5,5,3,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
9,3,3,3,"mood normal, tidak galau tidak juga bahagia berlebihan"
3,3,3,3,"makan oke, kelas oke, tugas oke — semua oke doang"
4,4,4,2,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
9,2,1,3,"hari ini seger banget, semua tugas kelar on time"
6,1,1,4,excited karena dapet kesempatan baru yang udah lama ditunggu
8,4,4,3,"tugas segunung, waktu secuil, otak udah mati duluan"
6,4,5,1,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
1,3,4,4,"gak ada komplain sih sebenernya, tapi gak excited juga"
7,5,5,2,"bad day banget, hampir nangis beberapa kali hari ini"
3,4,4,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
8,4,4,1,"down parah hari ini, semangat nol besar"
9,5,4,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
2,5,4,1,"hari ini berat banget, ngerasa down dari pagi"
10,3,2,4,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
3,2,1,3,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
9,3,3,4,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
10,5,4,3,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
5,4,4,1,pengen balik ke kasur dan ga keluar selamanya rasanya
8,4,3,2,lelah ngejar semuanya tapi kayak ga pernah sampe
8,1,1,5,"pulang lebih awal, sempet me time yang udah lama kangen"
4,1,1,5,belajar hal baru hari ini dan rasanya nagih banget
6,1,2,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
2,3,3,3,"ngejalanin rutinitas seperti biasa, gak naik gak turun"
7,1,1,4,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
11,3,2,4,semangat banget ngerjain tugas karena topiknya menarik bgt
8,4,5,3,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
10,2,1,5,"hari ini seger banget, semua tugas kelar on time"
5,1,1,4,dapat apresiasi dari dosen bikin semangat dobel hari ini
8,4,3,2,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
7,2,1,4,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
7,2,2,4,"hari ini penuh tawa, lupa sama capek dan penat"
5,3,4,1,"cukup lah hari ini, tidak lebih tidak kurang"
5,1,2,4,"pulang lebih awal, sempet me time yang udah lama kangen"
9,2,1,4,dapet feedback positif yang bikin makin yakin sama diri sendiri
8,3,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
5,3,2,1,pengen balik ke kasur dan ga keluar selamanya rasanya
5,4,5,2,"exhausted total, jalan aja udah kayak zombie"
7,2,1,3,"pulang lebih awal, sempet me time yang udah lama kangen"
5,1,1,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
8,4,5,1,"stress parah, deadline mepet semua barengan nyerang"
4,2,2,3,dapet feedback positif yang bikin makin yakin sama diri sendiri
10,4,3,3,alhamdulillah hari ini lancar banget ga ada hambatan
8,3,3,5,seneng bgt dapet nilai bagus pas ujian tadi
3,4,3,4,"hari ini chill tapi tetep produktif, perfect combo"
10,1,1,4,"mood on fire dari pagi, semua kerasa ringan"
5,2,1,4,pagi tadi olahraga dulu jadinya badan enak banget
6,4,3,3,"gak banyak drama hari ini, adem ayem aja"
9,5,4,3,"standar banget, kayak hari-hari sebelumnya yang mirip"
8,4,3,2,"tugas segunung, waktu secuil, otak udah mati duluan"
8,4,5,1,"hari ini berat banget, ngerasa down dari pagi"
6,3,4,2,"exhausted total, jalan aja udah kayak zombie"
10,2,3,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
12,2,3,3,"gak tau mau bilang apa, rasanya ya begitulah"
7,3,4,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
9,3,4,3,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
8,1,1,5,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
8,5,4,1,"pikiran gelap dateng lagi, susah diusir pergi"
9,5,5,1,"stress parah, deadline mepet semua barengan nyerang"
9,1,1,5,belajar hal baru hari ini dan rasanya nagih banget
7,3,3,2,"half-half hari ini, sebagian menyenangkan sebagian meh"
7,1,2,3,belajar hal baru hari ini dan rasanya nagih banget
9,4,5,2,"tugas segunung, waktu secuil, otak udah mati duluan"
12,4,3,1,"rasanya pengen pause semuanya, istirahat total dari dunia"
9,1,1,5,"pulang lebih awal, sempet me time yang udah lama kangen"
5,4,3,2,"bad day banget, hampir nangis beberapa kali hari ini"
2,5,5,3,nangis di kamar mandi karena udah gak tahan stressnya
10,1,1,3,"kerjaan beres semua, sisa waktu buat rebahan tenang"
9,1,1,4,"lunch enak, cuaca oke, tugas beres — hari sempurna"
5,4,3,4,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
5,2,2,4,hari ini terasa panjang tapi ya udah dijalanin aja
10,1,1,4,"pikiran jernih banget hari ini, bisa fokus full"
9,4,3,3,"rasanya pengen pause semuanya, istirahat total dari dunia"
5,5,5,1,"semua hal kerasa berat dan susah hari ini, capek"
6,5,4,1,"hari ini berat banget, ngerasa down dari pagi"
6,5,5,1,"susah fokus banget, pikiran lari kemana-mana terus"
2,2,1,3,semangat banget ngerjain tugas karena topiknya menarik bgt
9,1,2,4,"hari ini seger banget, semua tugas kelar on time"
5,2,2,4,"kerjaan beres semua, sisa waktu buat rebahan tenang"
6,5,4,3,"gak ada yang aneh, ngalir aja kayak biasa"
7,1,2,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
9,4,3,1,"stress parah, deadline mepet semua barengan nyerang"
6,4,5,3,"half-half hari ini, sebagian menyenangkan sebagian meh"
6,2,1,5,"hari ini berasa ringan banget, kayak abis lepas beban"
6,5,4,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
8,3,3,3,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
10,5,5,2,"bad day banget, hampir nangis beberapa kali hari ini"
7,3,4,3,"semua hal kerasa berat dan susah hari ini, capek"
10,5,5,2,"down parah hari ini, semangat nol besar"
9,5,5,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
7,2,3,3,belajar hal baru hari ini dan rasanya nagih banget
5,4,5,1,"hari ini drama banget, banyak hal yang salah semua"
9,3,2,2,pengen kabur dari semua tanggung jawab ini sesaat aja
7,5,5,2,"semua hal kerasa berat dan susah hari ini, capek"
7,4,3,3,"makan oke, kelas oke, tugas oke — semua oke doang"
9,5,5,1,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
4,4,4,1,"anxious dari pagi, banyak hal yang bikin khawatir"
3,1,1,5,"happy banget hari ini, banyak hal baik terjadi"
8,2,1,5,finally kelar juga projek yang udah molor berminggu-minggu
5,4,3,3,overthinking dikit tapi masih bisa dikendaliin untungnya
6,2,1,5,"hari ini berasa ringan banget, kayak abis lepas beban"
9,2,3,1,nangis di kamar mandi karena udah gak tahan stressnya
5,4,3,4,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
4,2,3,4,"reconnect sama passion lama hari ini, bikin semangat lagi"
4,1,1,4,dapet feedback positif yang bikin makin yakin sama diri sendiri
8,1,2,3,"hari ini chill tapi tetep produktif, perfect combo"
6,4,5,1,pengen balik ke kasur dan ga keluar selamanya rasanya
7,4,3,1,"tugas segunung, waktu secuil, otak udah mati duluan"
5,2,2,3,"hari ini penuh tawa, lupa sama capek dan penat"
3,1,1,4,"hari ini seger banget, semua tugas kelar on time"
10,1,1,5,belajar hal baru hari ini dan rasanya nagih banget
4,2,3,3,"gak banyak ngomong hari ini, lebih banyak mikir sendiri"
6,1,1,5,"pulang lebih awal, sempet me time yang udah lama kangen"
3,3,3,4,excited karena dapet kesempatan baru yang udah lama ditunggu
6,2,3,3,pagi tadi olahraga dulu jadinya badan enak banget
10,2,2,3,"kadang bosen kadang oke, selang-seling gitu rasanya"
7,1,1,5,finally kelar juga projek yang udah molor berminggu-minggu
6,2,1,3,"produktif parah hari ini, kayak mesin yang ga berhenti"
7,1,2,3,tugas beres tapi gak ngerasa puas atau kecewa
4,5,5,1,"cape hati, bukan cape badan — itu yang paling melelahkan"
5,5,4,2,"hari ini drama banget, banyak hal yang salah semua"
8,4,5,2,"cape hati, bukan cape badan — itu yang paling melelahkan"
6,5,5,2,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
9,2,1,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
6,4,4,1,"down parah hari ini, semangat nol besar"
9,2,2,4,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
2,2,2,4,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
6,4,3,3,"ngerjain kewajiban, setelah itu ya sudah lah"
10,4,3,2,ngerasa gak ada yang ngerti apa yang aku rasain hari ini
9,1,1,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
8,5,5,1,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
6,5,5,2,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
4,4,4,3,kerja keras dikit tapi hasilnya ya segitu-gitu aja
7,2,2,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
4,2,1,4,alhamdulillah hari ini lancar banget ga ada hambatan
11,2,2,2,"ngikutin jadwal aja, autopilot mode sepanjang hari"
10,1,1,4,"kerjaan beres semua, sisa waktu buat rebahan tenang"
10,2,3,3,ngerasa punya achievement kecil tapi berarti banget buat aku
8,3,3,4,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
8,3,4,5,"pikiran jernih banget hari ini, bisa fokus full"
7,2,1,5,"produktif parah hari ini, kayak mesin yang ga berhenti"
11,4,3,2,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
5,2,2,4,dapat apresiasi dari dosen bikin semangat dobel hari ini
6,3,3,3,"kerjaan beres semua, sisa waktu buat rebahan tenang"
9,1,1,5,"kerjaan beres semua, sisa waktu buat rebahan tenang"
6,3,2,4,"mood on fire dari pagi, semua kerasa ringan"
5,5,4,1,lelah ngejar semuanya tapi kayak ga pernah sampe
3,1,1,4,"hari ini penuh tawa, lupa sama capek dan penat"
8,1,1,4,cuaca cerah bikin hati ikutan happy ga keruan
8,3,4,1,"pikiran gelap dateng lagi, susah diusir pergi"
7,1,2,4,"dengerin playlist favorit sambil ngerjain tugas, efeknya luar biasa"
7,5,5,3,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
4,5,4,3,"ngerjain kewajiban, setelah itu ya sudah lah"
8,4,4,3,pengen kabur dari semua tanggung jawab ini sesaat aja
9,3,4,1,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
3,1,1,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
8,5,4,1,"anxious dari pagi, banyak hal yang bikin khawatir"
8,5,5,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
6,1,1,5,ngerasa punya achievement kecil tapi berarti banget buat aku
8,3,3,4,"hari ini chill tapi tetep produktif, perfect combo"
8,2,1,5,"kerjaan beres semua, sisa waktu buat rebahan tenang"
3,2,1,5,"hari ini penuh tawa, lupa sama capek dan penat"
2,1,2,5,belajar hal baru hari ini dan rasanya nagih banget
9,5,4,1,"emotional banget hari ini, gampang baper sama hal kecil"
7,5,5,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
7,5,5,2,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
3,4,4,2,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
8,1,1,5,excited karena dapet kesempatan baru yang udah lama ditunggu
5,4,3,1,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
9,5,5,3,"pikiran gelap dateng lagi, susah diusir pergi"
7,5,4,2,"anxious dari pagi, banyak hal yang bikin khawatir"
6,3,2,3,"gak ada komplain sih sebenernya, tapi gak excited juga"
5,4,3,3,"cukup lah hari ini, tidak lebih tidak kurang"
5,2,2,5,finally kelar juga projek yang udah molor berminggu-minggu
12,5,5,1,"capek banget, tugas numpuk kayak ga ada habisnya"
9,3,2,4,dapat apresiasi dari dosen bikin semangat dobel hari ini
6,1,1,5,belajar hal baru hari ini dan rasanya nagih banget
6,2,3,5,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
12,2,1,3,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
8,3,2,4,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
5,2,3,2,"gak mood sama sekali, males banget ngapa-ngapain hari ini"
9,4,5,2,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
6,1,2,3,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
1,3,3,3,dapat apresiasi dari dosen bikin semangat dobel hari ini
4,4,5,2,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
5,5,5,1,"pikiran gelap dateng lagi, susah diusir pergi"
8,4,3,2,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
8,4,3,4,hari ini terasa panjang tapi ya udah dijalanin aja
7,5,4,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
7,5,4,1,"rasanya pengen pause semuanya, istirahat total dari dunia"
8,5,5,1,"pikiran gelap dateng lagi, susah diusir pergi"
10,3,3,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
11,5,4,2,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
4,5,4,2,"burnout parah, udah gak sanggup lagi kayaknya"
5,2,1,5,"hari ini chill tapi tetep produktif, perfect combo"
5,2,2,2,"biasa aja, nothing special, just another day"
9,3,3,4,"menjalani hari ini tanpa ekspektasi, hasilnya ya segini"
7,1,2,4,"kerjaan beres semua, sisa waktu buat rebahan tenang"
7,3,4,5,"pikiran jernih banget hari ini, bisa fokus full"
4,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi
5,1,2,5,finally kelar juga projek yang udah molor berminggu-minggu
4,2,2,4,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
12,4,5,2,"down parah hari ini, semangat nol besar"
6,2,3,1,nangis di kamar mandi karena udah gak tahan stressnya
6,2,1,5,cuaca cerah bikin hati ikutan happy ga keruan
5,3,3,4,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
6,3,4,4,"reconnect sama passion lama hari ini, bikin semangat lagi"
6,2,2,5,"hari ini berasa ringan banget, kayak abis lepas beban"
5,5,5,1,gak ngerti kenapa ngerasa hampa gini dari tadi pagi
5,5,5,1,"burnout parah, udah gak sanggup lagi kayaknya"
9,5,5,2,"semua salah hari ini, dimulai dari bangun telat sampe tugas error"
11,3,4,2,"capek banget, tugas numpuk kayak ga ada habisnya"
8,4,4,1,pengen kabur dari semua tanggung jawab ini sesaat aja
7,3,2,4,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
6,4,3,2,"overthinking parah tadi malem, jadinya kurang tidur dan lesu"
3,5,4,2,"cape hati, bukan cape badan — itu yang paling melelahkan"
3,5,5,1,pengen balik ke kasur dan ga keluar selamanya rasanya
5,5,5,2,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
10,5,4,2,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
7,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi
7,1,1,4,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
4,5,4,1,"exhausted total, jalan aja udah kayak zombie"
4,2,1,5,"lunch enak, cuaca oke, tugas beres — hari sempurna"
2,2,2,3,"gak ada yang aneh, ngalir aja kayak biasa"
4,4,3,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
4,2,1,4,"hari ini chill tapi tetep produktif, perfect combo"
5,5,5,2,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
12,5,5,1,"susah fokus banget, pikiran lari kemana-mana terus"
5,3,4,5,semangat banget ngerjain tugas karena topiknya menarik bgt
6,1,2,5,alhamdulillah hari ini lancar banget ga ada hambatan
9,5,5,2,"bad day banget, hampir nangis beberapa kali hari ini"
10,2,1,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
3,5,5,2,"bad day banget, hampir nangis beberapa kali hari ini"
7,2,1,5,dapat apresiasi dari dosen bikin semangat dobel hari ini
6,5,4,1,nangis di kamar mandi karena udah gak tahan stressnya
2,1,1,5,"hari ini seger banget, semua tugas kelar on time"
8,5,4,3,"burnout parah, udah gak sanggup lagi kayaknya"
8,1,2,5,"happy banget hari ini, banyak hal baik terjadi"
8,5,5,1,"hari ini berat banget, ngerasa down dari pagi"
8,5,5,1,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
7,1,1,5,"hari ini chill tapi tetep produktif, perfect combo"
3,3,2,4,"lumayan lah, ada naik turunnya tapi masih oke"
7,4,4,1,"frustrated bgt, usaha keras tapi hasilnya mengecewakan terus"
12,3,4,4,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
7,1,2,3,"kadang bosen kadang oke, selang-seling gitu rasanya"
7,5,5,3,"susah fokus banget, pikiran lari kemana-mana terus"
9,1,1,5,"hari ini penuh tawa, lupa sama capek dan penat"
7,3,4,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
6,2,3,1,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
8,5,5,2,"pikiran gelap dateng lagi, susah diusir pergi"
5,4,5,2,gak sanggup lagi pura-pura baik-baik aja di depan semua orang
11,3,2,3,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
8,3,2,4,"lunch enak, cuaca oke, tugas beres — hari sempurna"
5,2,3,5,semangat banget ngerjain tugas karena topiknya menarik bgt
9,5,5,2,"burnout parah, udah gak sanggup lagi kayaknya"
7,2,2,5,"pulang lebih awal, sempet me time yang udah lama kangen"
8,1,1,5,alhamdulillah hari ini lancar banget ga ada hambatan
11,3,2,2,"anxious dari pagi, banyak hal yang bikin khawatir"
4,1,1,5,dapat apresiasi dari dosen bikin semangat dobel hari ini
4,1,2,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
4,3,2,4,seneng bgt dapet nilai bagus pas ujian tadi
7,5,5,1,"emotional banget hari ini, gampang baper sama hal kecil"
8,5,4,1,"stress parah, deadline mepet semua barengan nyerang"
6,5,4,2,lelah ngejar semuanya tapi kayak ga pernah sampe
7,3,4,5,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
6,3,2,3,seneng bgt dapet nilai bagus pas ujian tadi
8,5,5,3,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
